         1083308 function calls (1064498 primitive calls) in 1.968 seconds

   Ordered by: cumulative time
   List reduced from 366 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.002    2.002 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\analysis\full_vehicle_dynamic.py:80(run)
       81    0.116    0.001    1.259    0.016 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\constrained.py:423(_coupled_accelerations)
        1    0.003    0.003    0.820    0.820 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\analysis\full_vehicle_dynamic.py:129(_fit_c_mode_static_preloads)
       49    0.010    0.000    0.796    0.016 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\analysis\full_vehicle_dynamic.py:195(evaluate)
        1    0.001    0.001    0.695    0.695 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\constrained.py:40(integrate)
        8    0.001    0.000    0.666    0.083 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\constrained.py:223(_advance_trial)
     5256    0.004    0.000    0.655    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\constrained.py:438(<genexpr>)
     5175    0.008    0.000    0.651    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\forces.py:267(evaluate_dynamic_element)
     4691    0.022    0.000    0.549    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\forces.py:55(evaluate_dynamic)
        1    0.000    0.000    0.452    0.452 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\analysis\full_vehicle_dynamic.py:280(_initial_state)
        1    0.003    0.003    0.451    0.451 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\analysis\full_vehicle_dynamic.py:382(_fast_vehicle_static_trim)
     2592    0.158    0.000    0.398    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\forces.py:140(_evaluate_bushing_dynamic)
        8    0.018    0.002    0.392    0.049 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\constrained.py:310(_implicit_step)
       25    0.002    0.000    0.387    0.015 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\analysis\full_vehicle_dynamic.py:404(aggregate)
       25    0.020    0.001    0.377    0.015 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\solver\equilibrium.py:51(evaluate_generalized_forces)
      191    0.024    0.000    0.277    0.001 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:296(jacobian)
      800    0.033    0.000    0.251    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\elements\elastic.py:211(evaluate)
     4169    0.026    0.000    0.163    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:133(__post_init__)
     2883    0.020    0.000    0.162    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:162(compose)
     7850    0.068    0.000    0.141    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:30(normalize_quaternion)
    33516    0.095    0.000    0.128    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:20(cross3)
     3629    0.020    0.000    0.115    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:113(quaternion_to_rotation_vector)
      764    0.025    0.000    0.110    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:173(jacobian)
