pitman_angle_deg,left_wheel_angle_deg,right_wheel_angle_deg,left_minus_right_deg
-20.000,33.005782,49.050029,-16.044247
-18.000,30.224823,40.723059,-10.498236
-16.000,27.284829,34.473927,-7.189099
-14.000,24.205557,29.132886,-4.927328
-12.000,21.005557,24.315100,-3.309543
-10.000,17.701464,19.837287,-2.135823
-8.000,14.307409,15.595990,-1.288581
-6.000,10.834510,11.527008,-0.692497
-4.000,7.290455,7.588373,-0.297917
-2.000,3.679095,3.752132,-0.073037
0.000,0.000000,0.000000,0.000000
2.000,-3.752132,-3.679095,-0.073037
4.000,-7.588373,-7.290455,-0.297917
6.000,-11.527008,-10.834510,-0.692497
8.000,-15.595990,-14.307409,-1.288581
10.000,-19.837287,-17.701464,-2.135823
12.000,-24.315100,-21.005557,-3.309543
14.000,-29.132886,-24.205557,-4.927328
16.000,-34.473927,-27.284829,-7.189099
18.000,-40.723059,-30.224823,-10.498236
20.000,-49.050029,-33.005782,-16.044247
